usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;Index;Annee_naissance;Enfnat_en_conduite;Presence_enfant;plage_revenu;Valeur_residence;Point_perdu
Commercial;Panel Truck;yes;1;17.0;Highly Urban/ Urban;20/11/2021;complet;dev_express;83;2017;Non;Non;50k-75k€;150-200k€;0-4pts
Private;z_SUV;no;0;18.0;Highly Urban/ Urban;08/05/2022;complet;dev_express;84;1950;Non;Non;50k-75k€;0-75k€;0-4pts
Private;Minivan;no;0;1.0;Highly Urban/ Urban;04/11/2019;complet;dev_integral;85;2006;Non;Non;50k-75k€;+200k€;0-4pts
Private;Minivan;yes;2;11.0;Highly Urban/ Urban;07/03/2021;incomplet;dev_integral;86;1990;Oui;Oui;+100k€;0-75k€;0-4pts
Private;Sports Car;no;2;7.0;Highly Urban/ Urban;17/09/2021;complet;dev_premium;87;1985;Non;Non;25k-50k€;+200k€;0-4pts
Private;Sports Car;no;3;;Highly Urban/ Urban;01/07/2019;complet;dev_integral;88;1947;Non;Non;0-25k€;75-150k€;0-4pts
Commercial;z_SUV;no;1;3.0;Highly Urban/ Urban;31/07/2021;complet;dev_express;89;1932;Oui;Oui;-;+200k€;0-4pts
Private;Sports Car;no;0;1.0;Highly Urban/ Urban;05/11/2019;complet;dev_integral;90;1964;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Pickup;no;4;1.0;Highly Urban/ Urban;13/04/2020;complet;dev_integral;91;1950;Non;Non;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;2;12.0;Highly Urban/ Urban;01/10/2019;complet;dev_integral;92;1954;Non;Non;25k-50k€;0-75k€;0-4pts
Private;z_SUV;no;6;14.0;Highly Urban/ Urban;10/02/2021;complet;dev_express;93;1974;Non;Non;0-25k€;150-200k€;4-8pts
Commercial;Sports Car;no;0;1.0;z_Highly Rural/ Rural;07/04/2019;complet;dev_express;94;2004;Non;Oui;+100k€;+200k€;0-4pts
Private;Minivan;no;0;14.0;z_Highly Rural/ Rural;27/09/2020;complet;dev_express;95;1938;Non;Non;+100k€;+200k€;0-4pts
Private;Minivan;no;0;6.0;z_Highly Rural/ Rural;03/06/2019;complet;dev_integral;96;1953;Non;Oui;0-25k€;75-150k€;0-4pts
Private;Minivan;no;0;11.0;Highly Urban/ Urban;18/02/2020;complet;dev_integral;97;1950;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Van;no;5;6.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_integral;98;2017;Non;Non;0-25k€;0-75k€;4-8pts
Commercial;z_SUV;no;4;1.0;Highly Urban/ Urban;05/12/2021;complet;dev_express;99;1949;Non;Non;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;0;8.0;Highly Urban/ Urban;25/05/2021;complet;dev_integral;100;1942;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Minivan;no;0;1.0;Highly Urban/ Urban;15/04/2022;complet;dev_integral;101;1945;Non;Oui;25k-50k€;+200k€;0-4pts
Private;Pickup;no;0;;Highly Urban/ Urban;07/01/2020;complet;dev_premium;102;2014;Non;Non;75k-100k€;0-75k€;0-4pts
Private;Minivan;no;0;13.0;Highly Urban/ Urban;11/05/2022;complet;dev_express;103;1938;Non;Non;25k-50k€;150-200k€;0-4pts
Commercial;Pickup;yes;6;11.0;Highly Urban/ Urban;27/01/2020;complet;dev_premium;104;1961;Non;Non;75k-100k€;+200k€;4-8pts
Private;z_SUV;no;0;;z_Highly Rural/ Rural;28/03/2021;complet;dev_express;105;1967;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Sports Car;no;0;8.0;Highly Urban/ Urban;13/05/2021;complet;dev_integral;106;1981;Non;Oui;0-25k€;0-75k€;0-4pts
Private;Minivan;yes;2;9.0;Highly Urban/ Urban;05/05/2019;complet;dev_integral;107;2015;Oui;Oui;+100k€;+200k€;0-4pts
Private;Van;yes;3;15.0;Highly Urban/ Urban;25/02/2021;complet;dev_express;108;1965;Non;Non;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;2;1.0;Highly Urban/ Urban;18/08/2020;incomplet;dev_premium;109;1941;Non;Oui;0-25k€;0-75k€;0-4pts
Private;Minivan;yes;4;17.0;Highly Urban/ Urban;26/03/2020;complet;dev_integral;110;1954;Non;Non;+100k€;+200k€;0-4pts
Private;Minivan;yes;1;9.0;Highly Urban/ Urban;27/02/2020;complet;dev_integral;111;1959;Non;Non;50k-75k€;150-200k€;0-4pts
Commercial;Panel Truck;yes;6;17.0;Highly Urban/ Urban;19/01/2020;complet;dev_integral;112;2016;Non;Non;-;-;4-8pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;29/03/2019;incomplet;dev_express;113;1968;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Panel Truck;yes;0;14.0;Highly Urban/ Urban;28/03/2019;complet;dev_premium;114;1958;Non;Non;75k-100k€;+200k€;0-4pts
Private;Pickup;yes;0;8.0;z_Highly Rural/ Rural;10/05/2021;complet;dev_integral;115;2000;Oui;Oui;0-25k€;75-150k€;0-4pts
Commercial;Minivan;yes;2;5.0;Highly Urban/ Urban;26/09/2020;incomplet;dev_express;116;2009;Non;Oui;0-25k€;0-75k€;0-4pts
Commercial;z_SUV;no;3;6.0;Highly Urban/ Urban;27/05/2021;complet;dev_express;117;1965;Non;Non;-;0-75k€;0-4pts
Private;Minivan;no;2;14.0;Highly Urban/ Urban;03/07/2019;complet;dev_premium;118;1957;Oui;Oui;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;0;10.0;Highly Urban/ Urban;20/06/2021;complet;dev_express;119;1999;Non;Non;25k-50k€;+200k€;0-4pts
Private;z_SUV;no;3;7.0;Highly Urban/ Urban;30/05/2019;complet;dev_premium;120;2021;Non;Oui;0-25k€;0-75k€;0-4pts
Commercial;Minivan;no;3;10.0;z_Highly Rural/ Rural;25/06/2019;complet;dev_express;121;1992;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Panel Truck;no;0;1.0;Highly Urban/ Urban;27/09/2021;complet;dev_integral;122;1959;Non;Non;+100k€;+200k€;0-4pts
Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;28/11/2021;complet;dev_express;123;1983;Non;Non;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;0;16.0;Highly Urban/ Urban;26/03/2019;complet;dev_integral;124;1962;Non;Oui;75k-100k€;+200k€;0-4pts
Commercial;Pickup;yes;4;15.0;Highly Urban/ Urban;02/10/2019;complet;dev_express;125;1934;Non;Non;+100k€;0-75k€;0-4pts
Private;z_SUV;no;3;1.0;Highly Urban/ Urban;29/04/2019;complet;dev_integral;126;1936;Oui;Oui;+100k€;+200k€;0-4pts
Commercial;Pickup;yes;1;5.0;Highly Urban/ Urban;16/10/2020;complet;dev_premium;127;1996;Non;Non;50k-75k€;+200k€;0-4pts
Private;z_SUV;no;2;1.0;Highly Urban/ Urban;10/07/2019;incomplet;dev_express;128;2015;Non;Non;75k-100k€;+200k€;0-4pts
Commercial;Van;yes;0;;Highly Urban/ Urban;18/10/2020;complet;dev_integral;129;1963;Non;Oui;+100k€;+200k€;0-4pts
Private;Sports Car;no;0;10.0;z_Highly Rural/ Rural;07/04/2020;complet;dev_integral;130;1972;Oui;Oui;-;0-75k€;0-4pts
Private;z_SUV;no;0;15.0;Highly Urban/ Urban;12/04/2022;complet;dev_integral;131;1973;Non;Non;+100k€;+200k€;0-4pts
Private;Van;yes;0;13.0;Highly Urban/ Urban;20/10/2021;complet;dev_integral;132;1932;Non;Non;-;+200k€;0-4pts
Commercial;Van;no;0;;Highly Urban/ Urban;08/10/2021;incomplet;dev_integral;133;2021;Non;Non;+100k€;+200k€;0-4pts
Commercial;Panel Truck;yes;0;;Highly Urban/ Urban;21/08/2020;complet;dev_premium;134;1998;Non;Non;25k-50k€;150-200k€;0-4pts
Commercial;Van;yes;1;8.0;Highly Urban/ Urban;04/03/2022;complet;dev_express;135;1936;Non;Non;50k-75k€;0-75k€;0-4pts
Private;Sports Car;no;0;21.0;Highly Urban/ Urban;15/07/2020;complet;dev_integral;136;1931;Oui;Oui;25k-50k€;150-200k€;0-4pts
Commercial;Pickup;no;2;18.0;Highly Urban/ Urban;25/04/2021;incomplet;dev_integral;137;2007;Non;Oui;+100k€;0-75k€;0-4pts
Commercial;Sports Car;no;0;6.0;z_Highly Rural/ Rural;20/01/2021;complet;dev_integral;138;1973;Oui;Oui;75k-100k€;+200k€;0-4pts
Private;Minivan;yes;0;11.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;139;1955;Non;Non;75k-100k€;+200k€;0-4pts
Private;Pickup;no;0;17.0;Highly Urban/ Urban;22/01/2021;complet;dev_integral;140;1968;Non;Oui;+100k€;+200k€;0-4pts
Private;Minivan;no;4;17.0;Highly Urban/ Urban;15/06/2019;complet;dev_premium;141;1960;Non;Non;75k-100k€;+200k€;0-4pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;27/01/2020;complet;dev_express;142;1957;Oui;Oui;25k-50k€;150-200k€;0-4pts
Private;Pickup;no;1;1.0;Highly Urban/ Urban;28/04/2021;complet;dev_integral;143;1964;Non;Oui;0-25k€;75-150k€;0-4pts
Private;z_SUV;no;0;10.0;Highly Urban/ Urban;25/04/2022;complet;dev_integral;144;1940;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Pickup;yes;1;1.0;Highly Urban/ Urban;26/11/2019;complet;dev_integral;145;1952;Non;Non;25k-50k€;+200k€;0-4pts
Private;Minivan;no;3;9.0;Highly Urban/ Urban;02/06/2019;complet;dev_express;146;1988;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Van;yes;2;14.0;Highly Urban/ Urban;09/06/2021;complet;dev_integral;147;1962;Non;Non;+100k€;+200k€;0-4pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;30/03/2020;complet;dev_integral;148;1957;Non;Non;50k-75k€;0-75k€;0-4pts
Private;Minivan;yes;0;1.0;z_Highly Rural/ Rural;08/08/2019;complet;dev_express;149;2002;Non;Non;0-25k€;0-75k€;0-4pts
Commercial;Panel Truck;yes;0;11.0;Highly Urban/ Urban;03/03/2020;complet;dev_premium;150;1967;Non;Non;+100k€;+200k€;0-4pts
Private;z_SUV;no;1;1.0;z_Highly Rural/ Rural;17/09/2019;complet;dev_integral;151;1996;Non;Oui;25k-50k€;150-200k€;0-4pts
Private;Minivan;no;0;16.0;z_Highly Rural/ Rural;20/03/2022;complet;dev_express;152;1988;Non;Oui;50k-75k€;+200k€;0-4pts
Private;z_SUV;no;0;7.0;Highly Urban/ Urban;10/06/2020;incomplet;dev_integral;153;1963;Non;Non;+100k€;+200k€;0-4pts
Private;z_SUV;no;4;9.0;Highly Urban/ Urban;27/08/2021;complet;dev_express;154;2021;Non;Non;75k-100k€;0-75k€;0-4pts
Commercial;Van;no;3;4.0;Highly Urban/ Urban;20/09/2020;complet;dev_express;155;1996;Non;Oui;+100k€;+200k€;0-4pts
Private;Minivan;no;1;;Highly Urban/ Urban;27/03/2022;complet;dev_premium;156;1931;Oui;Oui;25k-50k€;75-150k€;0-4pts
Commercial;Pickup;no;4;9.0;Highly Urban/ Urban;26/05/2021;complet;dev_express;157;2000;Non;Non;25k-50k€;+200k€;0-4pts
Private;z_SUV;no;0;;Highly Urban/ Urban;28/07/2021;complet;dev_express;158;1995;Oui;Oui;75k-100k€;0-75k€;0-4pts
Private;z_SUV;no;0;15.0;Highly Urban/ Urban;12/11/2021;complet;dev_premium;159;1964;Non;Non;+100k€;0-75k€;0-4pts
Commercial;Pickup;yes;5;1.0;Highly Urban/ Urban;29/04/2019;complet;dev_integral;160;1945;Non;Non;0-25k€;-;4-8pts
Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;08/08/2019;complet;dev_integral;161;1937;Non;Oui;25k-50k€;0-75k€;0-4pts
Private;Minivan;no;0;14.0;Highly Urban/ Urban;14/04/2020;complet;dev_integral;162;1946;Non;Non;0-25k€;75-150k€;0-4pts
Commercial;Van;yes;0;7.0;Highly Urban/ Urban;16/05/2022;complet;dev_premium;163;2000;Non;Non;-;75-150k€;0-4pts
Commercial;Pickup;no;0;1.0;Highly Urban/ Urban;08/11/2020;complet;dev_express;164;1950;Non;Non;50k-75k€;150-200k€;0-4pts
Private;Sports Car;no;0;16.0;z_Highly Rural/ Rural;07/05/2021;complet;dev_premium;165;1972;Non;Non;50k-75k€;+200k€;0-4pts
Private;Minivan;no;4;8.0;Highly Urban/ Urban;27/03/2021;complet;dev_express;166;1959;Non;Non;50k-75k€;+200k€;0-4pts
Private;z_SUV;no;4;20.0;Highly Urban/ Urban;23/10/2020;complet;dev_integral;167;2005;Non;Oui;25k-50k€;0-75k€;0-4pts
Commercial;Pickup;no;4;1.0;Highly Urban/ Urban;25/03/2022;incomplet;dev_express;168;1992;Oui;Oui;0-25k€;0-75k€;0-4pts
Commercial;Sports Car;no;5;1.0;Highly Urban/ Urban;06/02/2022;complet;dev_premium;169;1941;Non;Oui;25k-50k€;+200k€;4-8pts
Private;z_SUV;no;0;15.0;Highly Urban/ Urban;18/09/2019;incomplet;dev_integral;170;2022;Non;Oui;75k-100k€;+200k€;0-4pts
Private;Pickup;no;0;1.0;z_Highly Rural/ Rural;02/04/2021;complet;dev_express;171;1981;Non;Non;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;6;10.0;Highly Urban/ Urban;09/11/2021;complet;dev_integral;172;1964;Non;Non;75k-100k€;+200k€;4-8pts
Private;Sports Car;no;1;13.0;Highly Urban/ Urban;05/02/2021;complet;dev_premium;173;1981;Non;Non;75k-100k€;+200k€;0-4pts
Private;Pickup;yes;0;17.0;Highly Urban/ Urban;05/11/2021;complet;dev_integral;174;1966;Non;Non;25k-50k€;75-150k€;0-4pts
Private;Pickup;yes;1;12.0;Highly Urban/ Urban;06/04/2020;complet;dev_express;175;1988;Non;Non;25k-50k€;75-150k€;0-4pts
Private;Pickup;yes;6;18.0;Highly Urban/ Urban;19/06/2021;incomplet;dev_express;176;1950;Non;Non;25k-50k€;150-200k€;4-8pts
Private;Minivan;no;3;14.0;Highly Urban/ Urban;12/02/2021;complet;dev_express;177;1985;Non;Non;+100k€;+200k€;0-4pts
Commercial;Pickup;no;1;1.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;178;2004;Non;Non;0-25k€;75-150k€;0-4pts
Private;z_SUV;no;7;14.0;Highly Urban/ Urban;12/07/2021;incomplet;dev_express;179;2013;Oui;Oui;50k-75k€;0-75k€;4-8pts
Commercial;Pickup;yes;0;7.0;Highly Urban/ Urban;27/09/2021;complet;dev_express;180;1977;Non;Oui;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;1;1.0;Highly Urban/ Urban;26/02/2020;complet;dev_integral;181;1979;Non;Non;0-25k€;75-150k€;0-4pts
Private;Minivan;yes;0;1.0;Highly Urban/ Urban;22/05/2020;complet;dev_express;182;1959;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Van;yes;0;;Highly Urban/ Urban;26/06/2020;incomplet;dev_integral;183;1934;Non;Non;+100k€;0-75k€;0-4pts
Private;z_SUV;no;2;7.0;Highly Urban/ Urban;04/06/2019;complet;dev_integral;184;1960;Non;Non;-;0-75k€;0-4pts
Commercial;Panel Truck;no;0;14.0;z_Highly Rural/ Rural;08/05/2021;complet;dev_express;185;1988;Non;Non;50k-75k€;150-200k€;0-4pts
